"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4140","User submits incorrect code for Array practice question","phase5-array","2026-03-11","passed","2026-03-11","Array Module","","",""
"","1798","Example #4","phase5-queue","2026-03-11","passed","2026-03-11","Queue Module > User accesses Queue topics","","",""
"","1777","Example #2","phase4-authenticated-homepage","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User accesses dropdown menu items after login","","",""
"","567","User launches the DS Algo Portal application","phase1-noauth","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality","","",""
"","1423","Example #6","phase1-noauth","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User tries to access module without login","","",""
"","1673","Example #7","phase5-tree","2026-03-11","passed","2026-03-11","Tree Module > User accesses Tree topics","","",""
"","1086","Example #7","phase1-noauth","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User tries to access module without login","","",""
"","866","Example #3","phase2-registration","2026-03-11","passed","2026-03-11","User Registration > User attempts registration with empty required fields","","",""
"","1706","Example #4","phase5-array","2026-03-11","passed","2026-03-11","Array Module > User accesses Array topics","","",""
"","2021","Example #1","phase5-graph","2026-03-11","passed","2026-03-11","Graph Module > User accesses Graph topics","","",""
"","1298","Example #1","phase2-registration","2026-03-11","passed","2026-03-11","User Registration > User attempts registration with empty required fields","","",""
"","3693","User tests Try Here editor with invalid code in Array","phase5-array","2026-03-11","passed","2026-03-11","Array Module","","",""
"","3922","Example #3","phase3-signin","2026-03-11","passed","2026-03-11","User Sign In > User attempts sign in with invalid credentials","","",""
"","1948","Example #4","phase4-authenticated-homepage","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User accesses dropdown menu items after login","","",""
"","11962","Example #6","security-tests","2026-03-11","failed","2026-03-11","User Sign In > Unauthenticated users cannot access protected pages","","",""
"","1312","User accesses Data Structures page from homepage","phase5-datastructures","2026-03-11","passed","2026-03-11","Data Structures Module","","",""
"","1594","Example #4","phase5-tree","2026-03-11","passed","2026-03-11","Tree Module > User accesses Tree topics","","",""
"","1880","Example #4","phase2-registration","2026-03-11","failed","2026-03-11","User Registration > User attempts registration with invalid data","","",""
"","3666","User tests Try Here editor with invalid code in Stack","phase5-stack","2026-03-11","passed","2026-03-11","Stack Module","","",""
"","1588","Example #3","phase5-stack","2026-03-11","passed","2026-03-11","Stack Module > User accesses Stack topics","","",""
"","2144","Example #10","phase5-tree","2026-03-11","passed","2026-03-11","Tree Module > User accesses Tree topics","","",""
"","3459","User tests Try Here editor with invalid code in Graph","phase5-graph","2026-03-11","passed","2026-03-11","Graph Module","","",""
"","3597","User tests Try Here editor with invalid code in Linked List","phase5-linkedlist","2026-03-11","passed","2026-03-11","Linked List Module","","",""
"","7645","Example #1","phase5-array","2026-03-11","passed","2026-03-11","Array Module > User solves Array practice questions with Run and Submit","","",""
"","1248","User accesses Array page from homepage","phase5-array","2026-03-11","passed","2026-03-11","Array Module","","",""
"","2114","Example #2","phase5-tree","2026-03-11","passed","2026-03-11","Tree Module > User accesses Tree topics","","",""
"","1918","Example #3","phase4-authenticated-homepage","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User accesses dropdown menu items after login","","",""
"","1130","Example #1","phase4-authenticated-homepage","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User accesses module pages via Get Started buttons after login","","",""
"","1667","Example #6","phase5-linkedlist","2026-03-11","passed","2026-03-11","Linked List Module > User accesses Linked List topics","","",""
"","6243","User tests Try Here editor with valid code in Linked List","phase5-linkedlist","2026-03-11","passed","2026-03-11","Linked List Module","","",""
"","1766","Example #2","phase5-array","2026-03-11","passed","2026-03-11","Array Module > User accesses Array topics","","",""
"","1136","User verifies Sign in link is present on homepage","phase1-noauth","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality","","",""
"","6129","User tests Try Here editor with valid code in Data Structures","phase5-datastructures","2026-03-11","passed","2026-03-11","Data Structures Module","","",""
"","1810","Example #4","phase1-noauth","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User tries to access dropdown menu items without login","","",""
"","1973","Example #1","phase4-authenticated-homepage","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User accesses dropdown menu items after login","","",""
"","1562","Example #3","phase4-authenticated-homepage","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User navigates between modules via dropdown","","",""
"","6122","User tests Try Here editor with valid code in Tree","phase5-tree","2026-03-11","passed","2026-03-11","Tree Module","","",""
"","1947","Example #3","phase5-queue","2026-03-11","passed","2026-03-11","Queue Module > User accesses Queue topics","","",""
"","6286","User tests Try Here editor with valid code in Graph","phase5-graph","2026-03-11","passed","2026-03-11","Graph Module","","",""
"","980","Example #3","phase1-noauth","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User tries to access module without login","","",""
"","1336","User verifies logged in state on homepage","phase4-authenticated-homepage","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality","","",""
"","2077","Example #5","phase2-registration","2026-03-11","failed","2026-03-11","User Registration > User attempts registration with invalid data","","",""
"","1512","Example #5","phase1-noauth","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User tries to access dropdown menu items without login","","",""
"","6296","User tests Try Here editor with valid code in Queue","phase5-queue","2026-03-11","passed","2026-03-11","Queue Module","","",""
"","1502","Example #1","phase5-tree","2026-03-11","passed","2026-03-11","Tree Module > User accesses Tree topics","","",""
"","7275","Example #2","phase5-array","2026-03-11","passed","2026-03-11","Array Module > User solves Array practice questions with Run and Submit","","",""
"","2067","Example #2","phase5-linkedlist","2026-03-11","passed","2026-03-11","Linked List Module > User accesses Linked List topics","","",""
"","1047","Example #3","phase4-authenticated-homepage","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User accesses module pages via Get Started buttons after login","","",""
"","1479","BUG - Queue Practice Questions page is empty","phase5-queue","2026-03-11","failed","2026-03-11","Queue Module","","",""
"","2582","Example #12","phase5-tree","2026-03-11","passed","2026-03-11","Tree Module > User accesses Tree topics","","",""
"","12368","Example #7","security-tests","2026-03-11","failed","2026-03-11","User Sign In > Unauthenticated users cannot access protected pages","","",""
"","1789","Example #4","phase5-linkedlist","2026-03-11","passed","2026-03-11","Linked List Module > User accesses Linked List topics","","",""
"","3660","User tests Try Here editor with invalid code in Data Structures","phase5-datastructures","2026-03-11","passed","2026-03-11","Data Structures Module","","",""
"","1739","Example #1","phase5-queue","2026-03-11","passed","2026-03-11","Queue Module > User accesses Queue topics","","",""
"","1548","BUG - Linked List Practice Questions page is empty","phase5-linkedlist","2026-03-11","failed","2026-03-11","Linked List Module","","",""
"","11443","Example #2","security-tests","2026-03-11","failed","2026-03-11","User Sign In > Unauthenticated users cannot access protected pages","","",""
"","1722","Example #1","phase5-linkedlist","2026-03-11","passed","2026-03-11","Linked List Module > User accesses Linked List topics","","",""
"","1005","Example #1","phase1-noauth","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User tries to access module without login","","",""
"","1082","Example #2","phase4-authenticated-homepage","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User accesses module pages via Get Started buttons after login","","",""
"","1542","User navigates to landing page via NumpyNinja logo","phase4-authenticated-homepage","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality","","",""
"","1762","Example #2","phase5-graph","2026-03-11","passed","2026-03-11","Graph Module > User accesses Graph topics","","",""
"","1633","User accesses Queue page from homepage","phase5-queue","2026-03-11","passed","2026-03-11","Queue Module","","",""
"","3476","User tests Try Here editor with invalid code in Tree","phase5-tree","2026-03-11","passed","2026-03-11","Tree Module","","",""
"","7058","Example #3","phase5-array","2026-03-11","passed","2026-03-11","Array Module > User solves Array practice questions with Run and Submit","","",""
"","1166","User accesses Graph page from homepage","phase5-graph","2026-03-11","passed","2026-03-11","Graph Module","","",""
"","4384","Example #4","phase3-signin","2026-03-11","passed","2026-03-11","User Sign In > User attempts sign in with invalid credentials","","",""
"","1840","Example #1","phase1-noauth","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User tries to access dropdown menu items without login","","",""
"","1547","User accesses Stack page from homepage","phase5-stack","2026-03-11","passed","2026-03-11","Stack Module","","",""
"","1390","Example #5","phase1-noauth","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User tries to access module without login","","",""
"","2014","User logs out and logs back in","phase4-authenticated-homepage","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality","","",""
"","1248","User accesses Linked List page from homepage","phase5-linkedlist","2026-03-11","passed","2026-03-11","Linked List Module","","",""
"","2459","Example #6","phase2-registration","2026-03-11","passed","2026-03-11","User Registration > User attempts registration with invalid data","","",""
"","4322","Example #1","phase3-signin","2026-03-11","passed","2026-03-11","User Sign In > User attempts sign in with invalid credentials","","",""
"","2107","Example #9","phase5-tree","2026-03-11","passed","2026-03-11","Tree Module > User accesses Tree topics","","",""
"","3621","User tests Try Here editor with invalid code in Queue","phase5-queue","2026-03-11","passed","2026-03-11","Queue Module","","",""
"","1792","Example #6","phase1-noauth","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User tries to access dropdown menu items without login","","",""
"","2260","Example #1","phase5-datastructures","2026-03-11","passed","2026-03-11","Data Structures Module > User accesses Data Structures topics","","",""
"","11788","Example #5","security-tests","2026-03-11","failed","2026-03-11","User Sign In > Unauthenticated users cannot access protected pages","","",""
"","588","User navigates to login via bottom Login link","phase2-registration","2026-03-11","passed","2026-03-11","User Registration","","",""
"","1774","Example #11","phase5-tree","2026-03-11","passed","2026-03-11","Tree Module > User accesses Tree topics","","",""
"","11875","Example #1","security-tests","2026-03-11","failed","2026-03-11","User Sign In > Unauthenticated users cannot access protected pages","","",""
"","1306","User navigates to login via top Sign in link","phase2-registration","2026-03-11","passed","2026-03-11","User Registration","","",""
"","2047","Example #8","phase5-tree","2026-03-11","passed","2026-03-11","Tree Module > User accesses Tree topics","","",""
"","5197","User signs in with valid credentials","phase3-signin","2026-03-11","passed","2026-03-11","User Sign In","","",""
"","2186","Example #2","phase2-registration","2026-03-11","failed","2026-03-11","User Registration > User attempts registration with invalid data","","",""
"","1715","Example #2","phase4-authenticated-homepage","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User navigates between modules via dropdown","","",""
"","2084","Example #7","phase5-linkedlist","2026-03-11","passed","2026-03-11","Linked List Module > User accesses Linked List topics","","",""
"","899","Example #2","phase2-registration","2026-03-11","passed","2026-03-11","User Registration > User attempts registration with empty required fields","","",""
"","1202","BUG - Data Structures Practice Questions page is empty","phase5-datastructures","2026-03-11","failed","2026-03-11","Data Structures Module","","",""
"","2108","Example #1","phase4-authenticated-homepage","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User navigates between modules via dropdown","","",""
"","11956","Example #3","security-tests","2026-03-11","failed","2026-03-11","User Sign In > Unauthenticated users cannot access protected pages","","",""
"","1856","Example #2","phase1-noauth","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User tries to access dropdown menu items without login","","",""
"","1920","Example #5","phase4-authenticated-homepage","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User accesses dropdown menu items after login","","",""
"","2075","Example #3","phase2-registration","2026-03-11","failed","2026-03-11","User Registration > User attempts registration with invalid data","","",""
"","1663","User accesses Tree page from homepage","phase5-tree","2026-03-11","passed","2026-03-11","Tree Module","","",""
"","2037","Example #2","phase5-stack","2026-03-11","passed","2026-03-11","Stack Module > User accesses Stack topics","","",""
"","2063","Example #2","phase5-queue","2026-03-11","passed","2026-03-11","Queue Module > User accesses Queue topics","","",""
"","1605","BUG - Graph Practice Questions page is empty","phase5-graph","2026-03-11","failed","2026-03-11","Graph Module","","",""
"","1276","BUG - Stack Practice Questions page is empty","phase5-stack","2026-03-11","failed","2026-03-11","Stack Module","","",""
"","12620","Example #4","phase5-array","2026-03-11","failed","2026-03-11","Array Module > User solves Array practice questions with Run and Submit","","",""
"","1720","Example #5","phase5-linkedlist","2026-03-11","passed","2026-03-11","Linked List Module > User accesses Linked List topics","","",""
"","6346","User tests Try Here editor with valid code in Array","phase5-array","2026-03-11","passed","2026-03-11","Array Module","","",""
"","1676","Example #1","phase5-stack","2026-03-11","passed","2026-03-11","Stack Module > User accesses Stack topics","","",""
"","6193","User tests Try Here editor with valid code in Stack","phase5-stack","2026-03-11","passed","2026-03-11","Stack Module","","",""
"","11888","Example #4","security-tests","2026-03-11","failed","2026-03-11","User Sign In > Unauthenticated users cannot access protected pages","","",""
"","1120","User verifies NumpyNinja link on homepage","phase1-noauth","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality","","",""
"","2599","Example #1","phase5-array","2026-03-11","passed","2026-03-11","Array Module > User accesses Array topics","","",""
"","1868","Example #1","phase2-registration","2026-03-11","failed","2026-03-11","User Registration > User attempts registration with invalid data","","",""
"","1528","Example #3","phase1-noauth","2026-03-11","passed","2026-03-11","Homepage Navigation and Functionality > User tries to access dropdown menu items without login","","",""
